date,volume,session_status,secondary_status,secondary_open_return_difference,open_research_eligible
2022-03-18,27777100.000000000000,traded,common,0.000000021452,True
2022-03-21,20401600.000000000000,traded,common,0.000000024835,True
2022-03-22,67700685.000000000000,traded,common,0.000000041919,True
2022-03-23,29133400.000000000000,traded,common,0.000000015031,True
2022-03-24,26021600.000000000000,traded,common,0.000000000000,True
2022-03-25,21980000.000000000000,traded,common,0.000000078234,True
2022-03-28,23769500.000000000000,traded,common,0.000000020643,True
2022-03-29,32221172.000000000000,traded,common,0.000000048898,True
2022-03-30,23772000.000000000000,traded,common,0.000000040546,True
2022-03-31,37229720.000000000000,traded,common,0.000000011434,True
2022-04-01,26821900.000000000000,traded,common,0.000000041822,True
2022-04-06,55163800.000000000000,traded,common,0.000000067392,True
2022-04-07,32820800.000000000000,traded,common,0.000000060643,True
2022-04-08,38341300.000000000000,traded,common,0.000000051689,True
2022-04-11,28505300.000000000000,traded,common,0.000000061016,True
2022-04-12,35074200.000000000000,traded,common,0.000000071495,True
2022-04-13,32335700.000000000000,traded,common,0.000000012724,True
2022-04-14,30875500.000000000000,traded,common,0.000000029292,True
2022-04-15,27785500.000000000000,traded,common,0.000000025189,True
2022-04-18,30975600.000000000000,traded,common,0.000000047847,True
2022-04-19,31509500.000000000000,traded,common,0.000000030169,True
2022-04-20,38893300.000000000000,traded,common,0.000000005318,True
2022-04-21,44680800.000000000000,traded,common,0.000000009365,True
2022-04-22,31017200.000000000000,traded,common,0.000000034477,True
2022-04-25,71549608.000000000000,traded,common,0.000000017006,True
2022-04-26,45782510.000000000000,traded,common,0.000000051005,True
2022-04-27,45450300.000000000000,traded,common,0.000000052982,True
2022-04-28,32373000.000000000000,traded,common,0.000000005942,True
2022-04-29,30546300.000000000000,traded,common,0.000000031442,True
2022-05-05,28318300.000000000000,traded,common,0.000000014560,True
2022-05-06,29222400.000000000000,traded,common,0.000000076048,True
2022-05-09,32408500.000000000000,traded,common,0.000000001428,True
2022-05-10,33761102.000000000000,traded,common,0.000000000000,True
2022-05-11,27202700.000000000000,traded,common,0.000000078077,True
2022-05-12,25705500.000000000000,traded,common,0.000000008278,True
2022-05-13,28335000.000000000000,traded,common,0.000000017261,True
2022-05-16,55679900.000000000000,traded,common,0.000000031994,True
